crop_id,x,y,width,height,mean_absolute_difference,median_absolute_difference,max_absolute_difference,percentage_pixels_changed
crop_01,2677,319,512,512,9.609825134277344,3.0,135,40.323638916015625
crop_02,3931,2330,512,512,13.952754974365234,3.0,127,47.12486267089844
crop_03,5131,1390,512,512,12.531576792399088,2.0,129,35.87913513183594
crop_04,1537,2549,512,512,2.2445042928059897,1.0,65,10.518646240234375
crop_05,859,1206,512,512,14.041033426920572,4.0,142,51.66053771972656
crop_06,2907,3119,512,512,1.6962140401204426,1.0,18,10.976409912109375
crop_07,4894,1808,512,512,17.76715850830078,6.0,124,57.6171875
crop_08,466,2266,512,512,2.1141382853190103,1.0,67,4.0447235107421875
crop_09,3454,1776,512,512,19.33761723836263,7.0,129,60.137176513671875
crop_10,1033,351,512,512,2.826920827229818,2.0,99,19.959259033203125
