split,image_id,D_WACV
calibration,0751.png,2804.81640625
calibration,0752.png,2802.319091796875
calibration,0753.png,2805.6279296875
calibration,0754.png,2806.081787109375
calibration,0755.png,2810.1279296875
calibration,0756.png,2806.823486328125
calibration,0757.png,2798.050048828125
calibration,0758.png,2801.464599609375
calibration,0759.png,2806.316162109375
calibration,0760.png,2790.411376953125
calibration,0761.png,2802.0341796875
calibration,0762.png,2808.861572265625
calibration,0763.png,2809.13232421875
calibration,0764.png,2811.87255859375
calibration,0765.png,2794.729736328125
calibration,0766.png,2812.158935546875
calibration,0767.png,2818.6767578125
calibration,0768.png,2815.143798828125
calibration,0769.png,2803.65234375
calibration,0770.png,2792.728759765625
calibration,0771.png,2817.63818359375
calibration,0772.png,2790.37890625
calibration,0773.png,2795.308837890625
calibration,0774.png,2807.282470703125
calibration,0775.png,2806.368408203125
calibration,0776.png,2801.196044921875
calibration,0777.png,2819.734375
calibration,0778.png,2802.044189453125
calibration,0779.png,2793.509765625
calibration,0780.png,2796.9296875
calibration,0781.png,2808.445556640625
calibration,0782.png,2795.739013671875
calibration,0783.png,2808.1123046875
calibration,0784.png,2798.692626953125
calibration,0785.png,2797.657470703125
calibration,0786.png,2801.869873046875
calibration,0787.png,2799.9990234375
calibration,0788.png,2801.709228515625
calibration,0789.png,2803.10205078125
calibration,0790.png,2821.972900390625
calibration,0791.png,2807.570556640625
calibration,0792.png,2817.33251953125
calibration,0793.png,2798.61328125
calibration,0794.png,2796.216552734375
calibration,0795.png,2802.456298828125
calibration,0796.png,2799.40576171875
calibration,0797.png,2804.303466796875
calibration,0798.png,2800.203857421875
calibration,0799.png,2806.902099609375
calibration,0800.png,2797.060546875
hr_test,0801.png,2806.06640625
hr_test,0802.png,2813.55078125
hr_test,0803.png,2810.205322265625
hr_test,0804.png,2799.26123046875
hr_test,0805.png,2817.15576171875
hr_test,0806.png,2801.1025390625
hr_test,0807.png,2824.32275390625
hr_test,0808.png,2806.009521484375
hr_test,0809.png,2803.789306640625
hr_test,0810.png,2795.87451171875
hr_test,0811.png,2798.17724609375
hr_test,0812.png,2807.819580078125
hr_test,0813.png,2796.896240234375
hr_test,0814.png,2797.5244140625
hr_test,0815.png,2810.418212890625
hr_test,0816.png,2801.77685546875
hr_test,0817.png,2806.78125
hr_test,0818.png,2804.036376953125
hr_test,0819.png,2795.041748046875
hr_test,0820.png,2812.674072265625
hr_test,0821.png,2807.01025390625
hr_test,0822.png,2805.77734375
hr_test,0823.png,2800.63037109375
hr_test,0824.png,2796.9345703125
hr_test,0825.png,2790.454345703125
hr_test,0826.png,2794.64306640625
hr_test,0827.png,2795.4599609375
hr_test,0828.png,2797.50537109375
hr_test,0829.png,2802.829345703125
hr_test,0830.png,2802.027587890625
hr_test,0831.png,2802.4560546875
hr_test,0832.png,2800.09326171875
hr_test,0833.png,2814.3330078125
hr_test,0834.png,2798.8837890625
hr_test,0835.png,2803.465087890625
hr_test,0836.png,2797.793701171875
hr_test,0837.png,2799.85546875
hr_test,0838.png,2817.955078125
hr_test,0839.png,2800.7958984375
hr_test,0840.png,2799.087646484375
hr_test,0841.png,2791.931396484375
hr_test,0842.png,2813.10009765625
hr_test,0843.png,2808.58984375
hr_test,0844.png,2812.762451171875
hr_test,0845.png,2828.1416015625
hr_test,0846.png,2797.541259765625
hr_test,0847.png,2793.93115234375
hr_test,0848.png,2798.185791015625
hr_test,0849.png,2786.388427734375
hr_test,0850.png,2799.377685546875
hr_test,0851.png,2798.46923828125
hr_test,0852.png,2808.72705078125
hr_test,0853.png,2795.140625
hr_test,0854.png,2795.5087890625
hr_test,0855.png,2813.007568359375
hr_test,0856.png,2798.954833984375
hr_test,0857.png,2816.628173828125
hr_test,0858.png,2803.857421875
hr_test,0859.png,2792.138427734375
hr_test,0860.png,2788.380615234375
hr_test,0861.png,2796.687255859375
hr_test,0862.png,2807.85546875
hr_test,0863.png,2803.8994140625
hr_test,0864.png,2800.274658203125
hr_test,0865.png,2803.0576171875
hr_test,0866.png,2822.615478515625
hr_test,0867.png,2792.3251953125
hr_test,0868.png,2803.52490234375
hr_test,0869.png,2798.757080078125
hr_test,0870.png,2792.493408203125
hr_test,0871.png,2814.4365234375
hr_test,0872.png,2805.427490234375
hr_test,0873.png,2794.49072265625
hr_test,0874.png,2808.434326171875
hr_test,0875.png,2793.23388671875
hr_test,0876.png,2798.968017578125
hr_test,0877.png,2806.163818359375
hr_test,0878.png,2802.285400390625
hr_test,0879.png,2806.251220703125
hr_test,0880.png,2809.4111328125
hr_test,0881.png,2803.86181640625
hr_test,0882.png,2804.612060546875
hr_test,0883.png,2797.858642578125
hr_test,0884.png,2792.690185546875
hr_test,0885.png,2798.2216796875
hr_test,0886.png,2807.1279296875
hr_test,0887.png,2802.795654296875
hr_test,0888.png,2797.25439453125
hr_test,0889.png,2805.76904296875
hr_test,0890.png,2803.044677734375
hr_test,0891.png,2802.71923828125
hr_test,0892.png,2790.7919921875
hr_test,0893.png,2810.4189453125
hr_test,0894.png,2811.014404296875
hr_test,0895.png,2797.03466796875
hr_test,0896.png,2803.939697265625
hr_test,0897.png,2793.062255859375
hr_test,0898.png,2800.609130859375
hr_test,0899.png,2801.810302734375
hr_test,0900.png,2802.035400390625
