split,N,mean,SD,median,p05,p95
calibration,50,2803.975712890625,7.563677553468054,2802.7791748046875,2793.080212402344,2818.2093994140623
hr_test,100,2802.645029296875,7.788530800013704,2802.031494140625,2792.128076171875,2816.6545532226564
