folder,image_id,iteration,iteration_path,hr_path,lr_path,D_WACV,NIQE,DBCNN,LR_content,PSNR,LPIPS
Canon_14_x1,Canon_14,15,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/X4.00X4.00/iteration_00015.png,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/hr/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2824.859375,15.002145558910062,0.308829128742218,0.0036226524971425533,32.74637988456078,0.326223760843277
Canon_14_x1,Canon_14,30,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/X4.00X4.00/iteration_00030.png,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/hr/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2824.783203125,16.00568603087774,0.31502774357795715,0.0032553712371736765,32.83131071507342,0.31430310010910034
Canon_14_x1,Canon_14,55,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/X4.00X4.00/iteration_00055.png,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/hr/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2824.857421875,16.038765993834943,0.3138405382633209,0.0030577797442674637,32.810650861493,0.3123505115509033
Canon_14_x1,Canon_14,105,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/X4.00X4.00/iteration_00105.png,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/hr/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2824.857421875,16.038765993834943,0.3138405382633209,0.0030573338735848665,32.810650861493,0.3123505115509033
Canon_14_x1,Canon_14,255,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/X4.00X4.00/iteration_00255.png,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/hr/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2824.86474609375,16.62374817152862,0.3146968185901642,0.003209031419828534,32.797702729017885,0.31581324338912964
Canon_14_x1,Canon_14,505,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/X4.00X4.00/iteration_00505.png,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/hr/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2824.856201171875,16.284051000275436,0.31450480222702026,0.002968043554574251,32.82009929422138,0.31094759702682495
Canon_14_x1,Canon_14,1005,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/X4.00X4.00/iteration_01005.png,/home/projectwork/vansh_zssr/Canon_14_x1/intermediate/hr/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2824.786865234375,15.986677388073113,0.3139500916004181,0.0029994158539921045,32.85043115342826,0.3108740746974945
Canon_40_x1,Canon_40,5,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/X4.00X4.00/iteration_00005.png,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/hr/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2824.44873046875,12.218317059067534,0.31329765915870667,0.003243926214054227,23.574102054806385,0.5360000729560852
Canon_40_x1,Canon_40,10,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/X4.00X4.00/iteration_00010.png,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/hr/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2824.46044921875,12.255765422727654,0.3146135210990906,0.0027339900843799114,23.568530367863914,0.536175012588501
Canon_40_x1,Canon_40,15,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/X4.00X4.00/iteration_00015.png,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/hr/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2824.399658203125,12.218500135891746,0.3163299560546875,0.0036781884264200926,23.57827191704097,0.5357011556625366
Canon_40_x1,Canon_40,30,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/X4.00X4.00/iteration_00030.png,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/hr/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2824.417724609375,12.18743689047821,0.31549036502838135,0.002964479150250554,23.572348223050813,0.535973310470581
Canon_40_x1,Canon_40,55,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/X4.00X4.00/iteration_00055.png,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/hr/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2824.402099609375,12.149535946496245,0.3138429820537567,0.003193296492099762,23.573997053609837,0.5357927083969116
Canon_40_x1,Canon_40,105,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/X4.00X4.00/iteration_00105.png,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/hr/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2824.420654296875,12.156062095263781,0.31384336948394775,0.0029795560985803604,23.57346886241246,0.5358846783638
Canon_40_x1,Canon_40,255,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/X4.00X4.00/iteration_00255.png,/home/projectwork/vansh_zssr/Canon_40_x1/intermediate/hr/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2824.413330078125,12.211060955170767,0.3128267824649811,0.003470872063189745,23.57773767463079,0.5353130102157593
