epoch,lambda_rank,margin,L_total,L_pix,L_vgg,L_KL,L_rank,time_sec
1,1.0,0.1,1.7370899948398624,0.05120467971186195,3.2813213832610475,0.33239657764644487,0.35754718490138615,653.8749403953552
2,1.0,0.1,1.619420723894001,0.05143817292889003,3.202310219275213,0.3007347243236361,0.2474672170397769,674.60586810112
3,1.0,0.1,1.5295323212589838,0.05086785984365682,3.107828070579377,0.3867622744720594,0.16785859373510437,664.4303503036499
4,1.0,0.1,1.4749141042211416,0.05021492555177053,3.058447015971209,0.28250216119716653,0.11878030246682397,666.0361206531525
5,1.0,0.1,1.4512499309746565,0.049958777199375685,3.0156202810528003,0.27381080375176614,0.09971775856492066,657.2599301338196
6,1.0,0.1,1.437770770345114,0.04988492771290836,2.9782504497376165,0.30476875950343313,0.09006035961203059,662.0831377506256
7,1.0,0.1,1.4180475515074435,0.04958149276558409,2.9198547244599435,0.2952335534337084,0.0764638667213548,677.25812292099
8,1.0,0.1,1.4054198093646395,0.049276151810566673,2.8772827711780513,0.3091953358720098,0.06835555218476619,705.5321979522705
9,1.0,0.1,1.3914650346853037,0.048826619256617486,2.822214380249513,0.3125074793411567,0.06024593522567488,707.8839964866638
10,1.0,0.1,1.384424737491439,0.04899769341243448,2.789983602224198,0.3654684909907854,0.05635161520137619,701.2186470031738
11,1.0,0.1,1.3786353688324446,0.04841603012837931,2.759799740852508,0.3716130033168381,0.05423935940117258,670.7940807342529
12,1.0,0.1,1.3677821838750248,0.048199640180651857,2.7234041088977747,0.37434824570947517,0.04701935943904086,640.6801776885986
13,1.0,0.1,1.360413954321262,0.04762810680982286,2.6813303601425305,0.338835140940758,0.04456205798690654,639.4176268577576
14,1.0,0.1,1.3576332394000703,0.047870095655223176,2.6616303891207265,0.35545765034920346,0.043569545886769555,641.5620591640472
15,1.0,0.1,1.3547854112840332,0.04758469705280345,2.6304082370437354,0.3401384454286468,0.04411875756346978,642.4624898433685
16,1.0,0.1,1.3418816680929302,0.04668663247051624,2.5901860101560574,0.3147952068234439,0.036101629911873136,642.8383333683014
17,1.0,0.1,1.350589642904501,0.04718540121463284,2.5959603876666684,0.29555641065261007,0.04375391189762621,638.740170955658
18,1.0,0.1,1.3336054842028997,0.04651529609711956,2.547113831433575,0.38260623312893166,0.03235972044313152,639.8468334674835
19,1.0,0.1,1.336369848831565,0.04684232683621545,2.5386212438608693,0.39986975660827834,0.0354501063488639,639.7727646827698
20,1.0,0.1,1.3365517269721074,0.04647600500786726,2.502494683729864,0.33361402456607436,0.03982619548643171,638.5539557933807
21,1.0,0.1,1.3290037064425713,0.04605919739594106,2.4924810754514373,0.3480640661531845,0.03358329207825011,638.2962772846222
22,1.0,0.1,1.3250023066997527,0.04623607408453142,2.472599274131049,0.30402151307305403,0.03130367650741241,638.458016872406
23,1.0,0.1,1.3138758310701995,0.04570200682114975,2.429082084124067,0.3977719085802019,0.025076296868209093,638.6671028137207
24,1.0,0.1,1.320129923166427,0.045916966695041785,2.441888912905634,0.353980158203471,0.029245375524645505,638.4723539352417
25,1.0,0.1,1.3128022103710513,0.045654451861911645,2.4085573182169315,0.29696994025622847,0.026245000060268097,641.168155670166
