crop_id,x,y,width,height,mean_absolute_difference,median_absolute_difference,max_absolute_difference,percentage_pixels_changed
crop_01,2677,319,512,512,8.505940755208334,3.0,118,45.08247375488281
crop_02,3931,2330,512,512,13.657731374104818,4.0,123,58.4747314453125
crop_03,5131,1390,512,512,12.449061075846354,3.0,113,48.44551086425781
crop_04,1537,2549,512,512,2.5798263549804688,2.0,55,21.440887451171875
crop_05,859,1206,512,512,12.165565490722656,3.0,127,48.48442077636719
crop_06,2907,3119,512,512,2.0810254414876304,2.0,11,13.969039916992188
crop_07,4894,1808,512,512,16.78668975830078,7.0,117,67.78488159179688
crop_08,466,2266,512,512,3.146582285563151,3.0,60,32.418060302734375
crop_09,3454,1776,512,512,18.302828470865887,9.0,123,74.87716674804688
crop_10,1033,351,512,512,2.562321980794271,2.0,74,17.803192138671875
