model,crop_id,x,y,width,height,mean_absolute_difference,median_absolute_difference,max_absolute_difference,percentage_pixels_changed
swinsr,crop_01,1883,2661,512,512,4.8805389404296875,2.0,98,41.57447814941406
swinsr,crop_02,2109,2849,512,512,5.186527252197266,3.0,105,45.83168029785156
swinsr,crop_03,3958,2397,512,512,5.166628519694011,2.0,101,37.78076171875
swinsr,crop_04,2420,1047,512,512,1.7760124206542969,1.0,81,2.634429931640625
swinsr,crop_05,2869,2078,512,512,4.483712514241536,2.0,88,32.086944580078125
swinsr,crop_06,261,419,512,512,0.8877232869466146,1.0,6,0.1556396484375
swinsr,crop_07,344,1593,512,512,2.2330195109049478,1.0,66,10.70709228515625
swinsr,crop_08,3927,1207,512,512,1.64794921875,1.0,60,5.419921875
swinsr,crop_09,2244,2213,512,512,4.8094635009765625,2.0,104,32.7789306640625
swinsr,crop_10,967,258,512,512,0.8837153116861979,1.0,7,0.131988525390625
hat,crop_01,1883,2661,512,512,4.7133738199869795,2.0,101,35.025787353515625
hat,crop_02,2109,2849,512,512,5.077487945556641,2.0,118,37.80517578125
hat,crop_03,3958,2397,512,512,5.810849507649739,2.0,109,37.4542236328125
hat,crop_04,2420,1047,512,512,3.697900136311849,3.0,139,37.74871826171875
hat,crop_05,2869,2078,512,512,5.025051116943359,2.0,118,33.6822509765625
hat,crop_06,261,419,512,512,2.315293629964193,2.0,8,8.518218994140625
hat,crop_07,344,1593,512,512,3.851729075113932,3.0,86,30.1055908203125
hat,crop_08,3927,1207,512,512,3.9421424865722656,3.0,103,35.173797607421875
hat,crop_09,2244,2213,512,512,5.077737172444661,2.0,119,31.990814208984375
hat,crop_10,967,258,512,512,2.4015719095865884,2.0,8,9.714508056640625
