epoch,l_total,l_pix,l_vgg,l_kl,l_rank,psnr,ssim,sz_auroc,grad_norm_pix,grad_norm_vgg,grad_norm_kl,w_vgg,beta_kl_eff
1,1.4999915677714308,0.03608637986971903,2.3344169965332027,0.7655098542917032,0.9204312810518955,,,,0.39062963353524655,17.41957046735725,8.720577875913248,0.1,1.0
2,1.0227343198622438,0.03361666270811265,2.3880906757924887,0.8664111698889614,0.10723435414188588,,,,2.552404115327759,14.035477264256922,8.613248081834952,0.1,0.9646
3,1.2474520639400577,0.03083556573058032,2.010783069367037,0.8578793579962716,0.06731892783854318,,,,0.9814567597217154,20.0777572681019,8.758309053085469,0.1,1.0
4,1.2418199515659023,0.030245455999736662,1.9426207272814677,0.9074495196293045,0.06924968453168183,,,,1.3947811193846855,28.1243056629272,9.571226535766563,0.1,1.0
5,1.241331471287789,0.030397999009648787,1.9317658424229172,0.9196771327684174,0.07102755100626211,,,,1.406855444798533,9.406124800299132,9.075760581932078,0.1,1.0
6,1.238388866532106,0.030035321777964485,1.9181126079847959,0.7285358413534971,0.0661310608613623,,,,0.7647322752925825,8.791402453445738,6.5216784489601745,0.1,1.0
7,1.3150689347861813,0.03190183793047866,2.040233957233714,0.6547895860587978,0.2934934179901493,,,,1.7936820297937306,8.88785742286948,7.588491365241394,0.1,1.0
8,1.245255046865438,0.02992871000043813,1.9807880185235593,0.7088004206840078,0.0689901393350861,,,,0.7467333627918733,8.987024272456084,7.469964533113527,0.1,1.0
9,1.2404591282505302,0.02967478828944859,1.9171920670304528,0.7681224532981417,0.07626052293046337,,,,1.4393525732627577,7.880419741747295,11.346767454208605,0.1,1.0
10,1.2292272410977934,0.029416222641148772,1.8535681076063644,0.8345198536640771,0.05781683273543581,34.064353942871094,0.9651624858379364,0.75,6.09181833307296,18.294691331187945,8.330066645085008,0.1,1.0
11,1.234344446688742,0.02980729556877234,1.8714485579165654,0.7826113582621166,0.06955760288148959,,,,4.787045768291132,12.526247983724836,6.538149723744567,0.1,1.0
12,1.2270674871568064,0.029005121338917916,1.8249489546909459,0.6616713632991658,0.06226987647274772,,,,3.801043018248059,17.895072452057345,7.139615578965542,0.1,1.0
13,1.2220992019915857,0.028771760348372692,1.8039970113764552,0.7476051411472545,0.051710959302014796,,,,0.46788834270330754,9.53723875618346,7.399568950585888,0.1,1.0
14,1.2215583685717575,0.028709271716133106,1.8027935395292185,0.7788939320823645,0.05027897338204233,,,,2.121269054667469,10.949910625164813,7.420303053583182,0.1,1.0
15,1.2207909039597014,0.028419228818554857,1.7768483120163479,0.8455115811988885,0.05874736810304306,,,,3.524729449221401,8.488244847761015,8.691117931257729,0.1,1.0
16,1.221888026194786,0.028197645302784704,1.766436799396923,0.8769571859247451,0.06818680150441139,,,,4.951695770866918,10.376172601730294,8.233732346062139,0.1,1.0
17,1.2169885442624637,0.02805221090433041,1.7509964371646816,0.8921256804248785,0.05534675440807996,,,,1.0148976721010812,6.6632089953120435,9.828407034305972,0.1,1.0
18,1.2206674457881383,0.02793800354522852,1.758025553367822,0.7505604927713796,0.06770748694463381,,,,2.072282409583273,11.402295932295246,6.73150955364376,0.1,1.0
19,1.2130805551511534,0.027596663887524485,1.7223663335267585,0.6964331880384812,0.05298902422283537,,,,3.4096217709103835,9.090310004201415,8.668527189589438,0.1,1.0
20,1.2118405257390308,0.02741675200380978,1.716408454857853,0.7558734850652182,0.05113170738975571,37.13982391357422,0.9700736701488495,1.0,0.9751665790446395,16.41018237827667,7.882724760897486,0.1,1.0
21,1.209564016579,0.02716638286255152,1.691302298115656,0.8209839697500959,0.05306960970812113,,,,0.5238436343393323,11.570445364714852,8.006987041338988,0.1,1.0
22,1.2102553501453368,0.026953061998576222,1.6914450677226036,0.8551420114477278,0.05663111500921969,,,,0.5640758615634806,14.78872069565948,7.842363160395958,0.1,1.0
23,1.2071251330486379,0.026806235801471803,1.6742127820923554,0.9119781401768252,0.05159047244175056,,,,2.436885490570871,12.830602075673196,8.32858563826139,0.1,1.0
24,1.20461248708997,0.02653166798837668,1.6582097960373459,0.8158978724212789,0.04903834754938925,,,,2.457150433364289,7.453603815935571,6.630672575518021,0.1,1.0
25,1.2024692395828651,0.0264880309564063,1.64958365049034,0.6729443554656818,0.044091370797984274,,,,0.5164000720151636,9.300986529178235,7.2481522898337225,0.1,1.0
26,1.2016139090258882,0.02617427938931296,1.6390309036519397,0.766952367218375,0.046146158394531574,,,,4.6455011482395845,12.064444935368394,7.479370929159593,0.1,1.0
27,1.2004194115327167,0.025967485789954045,1.626290510048716,0.7884158832121448,0.04729150567799553,,,,0.6025130882545087,8.576388997048468,7.859734371844878,0.1,1.0
