variant,method,pair,rho,p_value,N,rho_ci95_low,rho_ci95_high
full,pooled,D_WACV vs NIQE,0.32753474537155747,5.033725148953735e-06,186,0.20009364047462552,0.4451654092923912
full,pooled,D_WACV vs LR_content,-0.4799490882982344,4.1608906770726315e-12,186,-0.584141946919961,-0.3513582117105456
full,pooled,D_WACV vs PSNR,0.4411107329513401,2.946707563695452e-10,186,0.30601921827544065,0.5523995403028764
full,pooled,D_WACV vs SSIM,0.5077808185967578,1.3883029100508618e-13,186,0.38310016077843784,0.6114648689851422
full,pooled,D_WACV vs LPIPS,nan,nan,0,nan,nan
full,pooled,D_WACV vs DISTS,nan,nan,0,nan,nan
