rank_group,image_id,method,D_WACV,PSNR,SSIM,LPIPS,DISTS,NIQE,LR_content
lowest_D_WACV,DSC_1326,HAT,2788.475830078125,22.143660335591456,0.6736710667610168,0.2805585563182831,0.18958336114883423,6.0987032908269185,0.03633614629507065
lowest_D_WACV,panasonic_145,HAT,2788.886962890625,22.884834487009293,0.7821448842684428,0.2314070165157318,0.231173574924469,14.81499785668473,0.049590814858675
lowest_D_WACV,panasonic_187,HAT,2789.42529296875,14.655363234639472,0.5643832286198934,0.2957301735877991,0.3021806478500366,53.90941222065564,0.06471144407987595
lowest_D_WACV,DSC_1326,SwinSR,2793.277099609375,21.79327566395576,0.6658457318941752,0.30748528242111206,0.20617246627807617,6.116721085426489,0.03216954320669174
lowest_D_WACV,panasonic_187,SwinSR,2794.253662109375,13.56235041595796,0.39334744215011597,0.2491622269153595,0.3207968473434448,38.77078735055938,0.05835352838039398
lowest_D_WACV,IMG_150,HAT,2794.323486328125,17.716824949618623,0.5960792501767477,0.36283373832702637,0.2507404088973999,8.96964366780323,0.07656309008598328
lowest_D_WACV,panasonic_145,SwinSR,2794.721923828125,20.991033917411734,0.7356705466906229,0.2631066143512726,0.28587257862091064,8.693547797790226,0.05242491886019707
lowest_D_WACV,DSC_1454,HAT,2797.055908203125,23.968301309174688,0.7152145902315775,0.21713827550411224,0.1777161955833435,9.013739813290416,0.04090872034430504
lowest_D_WACV,IMG_118,HAT,2798.815185546875,16.956785385900805,0.6113265752792358,0.3342956006526947,0.21451067924499512,11.688243550322714,0.05889182537794113
lowest_D_WACV,P1160646,SwinSR,2799.03759765625,23.84823262175987,0.6994863549868265,0.24014267325401306,0.2171262502670288,10.54445815112662,0.02097763866186142
highest_D_WACV,IMG_190,HAT,2824.7666015625,31.341604154926653,0.8468539714813232,0.2700486183166504,0.14827728271484375,9.793847785972538,0.023881491273641586
highest_D_WACV,P1160566,SwinSR,2825.005126953125,37.964421050897414,0.9861760338147482,0.06804171949625015,0.2403864860534668,17.22997411688893,0.03530660644173622
highest_D_WACV,IMG_107,HAT,2825.109130859375,23.670292636883378,0.7560482819875082,0.25909799337387085,0.31133317947387695,27.815946909467808,0.027738841250538826
highest_D_WACV,P1160566,HAT,2828.23388671875,38.796437706070115,0.9880563815434774,0.06557569652795792,0.2354259490966797,21.759676124614025,0.03167787566781044
highest_D_WACV,DSC_1265,HAT,2830.69921875,39.44741547899125,0.9503950874010721,0.12692074477672577,0.2557770013809204,12.912457683733914,0.0201897993683815
highest_D_WACV,DSC_1265,SwinSR,2830.852783203125,39.34892280609548,0.94783616065979,0.15730741620063782,0.268746554851532,11.85649043023645,0.020267410203814507
highest_D_WACV,DSC_0988,HAT,2832.574951171875,37.217853006993636,0.9545319875081381,0.0801209807395935,0.1580737829208374,11.673989223713365,0.028446177020668983
highest_D_WACV,DSC_0988,SwinSR,2832.90283203125,38.51676769357106,0.9569169282913208,0.10544279217720032,0.1674213409423828,10.904049997031178,0.025335650891065598
highest_D_WACV,sony_189,SwinSR,2835.353759765625,42.993129617182326,0.9856299956639608,0.04124434292316437,0.18059992790222168,20.877908331127212,0.015794748440384865
highest_D_WACV,sony_189,HAT,2835.4716796875,37.201275900563296,0.9847004612286886,0.03399094566702843,0.14419400691986084,17.647463278818606,0.02022157795727253
