variant,method,pair,rho,p_value,N,rho_ci95_low,rho_ci95_high
crop,pooled,D_WACV vs NIQE,0.29812717668505145,3.5824727930721344e-05,186,0.161203772268429,0.42189880572653465
crop,pooled,D_WACV vs LR_content,-0.4799490882982344,4.1608906770726315e-12,186,-0.584141946919961,-0.3513582117105456
crop,pooled,D_WACV vs PSNR,0.6335532358302756,2.890726833153671e-22,186,0.5198949901786964,0.7285254791731963
crop,pooled,D_WACV vs SSIM,0.6796609616343962,1.4807015374737667e-26,186,0.5922530921720562,0.752428453856254
crop,pooled,D_WACV vs LPIPS,-0.52659576948002,1.1629081136727322e-14,186,-0.6217616870414753,-0.41501021336883764
crop,pooled,D_WACV vs DISTS,-0.2846439677559222,8.229271567162739e-05,186,-0.42001117496178575,-0.12660070850985408
