iteration,N,mean,SD,median,min,max
5,6,2823.866984049479,3.48316004972713,2824.17724609375,2818.603271484375,2829.1220703125
10,6,2824.5199381510415,4.672073986872285,2824.26123046875,2818.7626953125,2832.84130859375
15,6,2824.490275065104,4.777738853745457,2824.143310546875,2818.70849609375,2833.09130859375
30,6,2824.36328125,4.575938870029184,2824.1328125,2818.733154296875,2832.5126953125
55,6,2824.388916015625,4.578874639907393,2824.136474609375,2818.72265625,2832.5302734375
105,6,2824.3836669921875,4.582095507523236,2824.1397705078125,2818.73046875,2832.5302734375
255,6,2824.3389485677085,4.597106975110957,2824.0526123046875,2818.733642578125,2832.5302734375
505,6,2824.231974283854,4.6209936146704065,2823.814208984375,2818.7138671875,2832.5302734375
1005,6,2824.1515299479165,4.624986611596052,2823.6016845703125,2818.7138671875,2832.5302734375
