folder,N,mean,SD,median,min,max,first_iteration,first_D_WACV,last_iteration,last_D_WACV,last_minus_first,spearman_iteration_D_WACV,spearman_p_value
Canon_10_x1,9,2823.8257921006943,0.14338513754085294,2823.862060546875,2823.570556640625,2824.064453125,5,2823.90771484375,1005,2823.722900390625,-0.184814453125,-0.8833333333333333,0.0015905004234978695
Canon_14_x1,9,2824.8855251736113,0.10320461584312729,2824.858642578125,2824.783203125,2825.112548828125,5,2825.112548828125,1005,2824.788330078125,-0.32421875,-0.6276205565667923,0.07036502278970762
Canon_40_x1,9,2824.2762858072915,0.3223122996428945,2824.410400390625,2823.48046875,2824.4580078125,5,2824.44677734375,1005,2823.48046875,-0.96630859375,-0.7333333333333334,0.024554150071469705
Canon_42_x1,9,2821.8759765625,0.13583656158979648,2821.903076171875,2821.6630859375,2822.009521484375,5,2822.009521484375,1005,2821.67333984375,-0.336181640625,-0.9333333333333332,0.00023589981215941651
Canon_56_x1,9,2818.713568793403,0.04438406357712979,2818.72265625,2818.603271484375,2818.7626953125,5,2818.603271484375,1005,2818.7138671875,0.110595703125,0.07531446678801507,0.8472940220818163
DSC_0988_x1,9,2832.246527777778,1.188647153911192,2832.5302734375,2829.1220703125,2833.09130859375,5,2829.1220703125,1005,2832.5302734375,3.408203125,0.03651483716701107,0.9256951876591197
