method,image_id,sr_path,hr_path,lr_path,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS,PSNR_original,SSIM_original,PSNR_neg,SSIM_neg
HAT,panasonic_60,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_60_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_60_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_74.png,2815.434326171875,5.7251257883496285,0.0259803663939237,-27.783780540950364,-0.7874022324879965,0.2219838052988052,0.1837877035140991,27.783780540950364,0.7874022324879965,-27.783780540950364,-0.7874022324879965
HAT,panasonic_62,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_62_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_62_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_75.png,2817.84619140625,8.61074481637047,0.0165104959160089,-33.46214341676727,-0.8466353615125021,0.3158261775970459,0.2594169378280639,33.46214341676727,0.8466353615125021,-33.46214341676727,-0.8466353615125021
HAT,panasonic_85,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_85_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_85_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_76.png,2809.578857421875,5.646992029603963,0.0168767888098955,-28.736931121719515,-0.7816760540008545,0.3306797444820404,0.3256949782371521,28.736931121719515,0.7816760540008545,-28.736931121719515,-0.7816760540008545
HAT,sony_1,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_1_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_1_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_88.png,2812.0205078125,7.97635152893672,0.0400146655738353,-22.95967092988172,-0.6748151779174805,0.505352258682251,0.2549532651901245,22.95967092988172,0.6748151779174805,-22.95967092988172,-0.6748151779174805
HAT,sony_100,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_100_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_100_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_77.png,2810.25390625,7.776360270304327,0.0254237707704305,-25.99432490632941,-0.8126042087872823,0.2095900177955627,0.1944605112075805,25.99432490632941,0.8126042087872823,-25.99432490632941,-0.8126042087872823
HAT,sony_107,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_107_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_107_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_78.png,2812.603515625,9.970256657628395,0.021493561565876,-24.968620812448982,-0.8144233624140421,0.1878377795219421,0.2083001136779785,24.968620812448982,0.8144233624140421,-24.968620812448982,-0.8144233624140421
HAT,sony_11,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_11_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_11_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_80.png,2812.181884765625,6.559423067821274,0.0139330783858895,-28.00759503007409,-0.6952195962270101,0.2388330549001693,0.1992728114128112,28.00759503007409,0.6952195962270101,-28.00759503007409,-0.6952195962270101
HAT,sony_116,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_116_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_116_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_79.png,2817.70947265625,8.39875680202484,0.0193607099354267,-31.80255587228292,-0.8405821522076925,0.1502050757408142,0.1554438471794128,31.80255587228292,0.8405821522076925,-31.80255587228292,-0.8405821522076925
HAT,sony_120,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_120_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_120_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_81.png,2809.94677734375,7.175915389645732,0.0313881449401378,-23.29766266996628,-0.7836177150408427,0.1564867794513702,0.1602447032928466,23.29766266996628,0.7836177150408427,-23.29766266996628,-0.7836177150408427
HAT,sony_129,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_129_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_129_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_82.png,2801.094482421875,6.394578207253492,0.0419675298035144,-22.215614325018905,-0.4690605998039245,0.3812846541404724,0.2134304046630859,22.215614325018905,0.4690605998039245,-22.215614325018905,-0.4690605998039245
HAT,sony_158,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_158_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_158_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_83.png,2817.40771484375,12.930487491717638,0.0279629323631525,-39.23136172762902,-0.9461372097333272,0.1884320378303527,0.1186053156852722,39.23136172762902,0.9461372097333272,-39.23136172762902,-0.9461372097333272
HAT,sony_160,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_160_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_160_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_84.png,2824.43115234375,16.555739472829753,0.0199190396815538,-38.39514317215841,-0.9789565006891886,0.0521781519055366,0.1652222871780395,38.39514317215841,0.9789565006891886,-38.39514317215841,-0.9789565006891886
HAT,sony_169,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_169_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_169_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_85.png,2812.69287109375,15.685809343057766,0.0476506799459457,-20.285706218843053,-0.6917914152145386,0.1618057340383529,0.1572180390357971,20.285706218843053,0.6917914152145386,-20.285706218843053,-0.6917914152145386
HAT,sony_183,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_183_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_183_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_86.png,2818.52978515625,12.520730830982806,0.0214558448642492,-28.72281588873311,-0.9191428025563558,0.110331617295742,0.1994234919548034,28.72281588873311,0.9191428025563558,-28.72281588873311,-0.9191428025563558
HAT,sony_189,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_189_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_189_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_87.png,2835.4716796875,17.647463278818606,0.0202215779572725,-37.201275900563296,-0.9847004612286886,0.0339909456670284,0.1441940069198608,37.201275900563296,0.9847004612286886,-37.201275900563296,-0.9847004612286886
HAT,sony_49,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_49_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_49_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_89.png,2818.653076171875,10.5768296343133,0.0162007585167884,-33.512827772905844,-0.8693220615386963,0.3229104578495025,0.2420018911361694,33.512827772905844,0.8693220615386963,-33.512827772905844,-0.8693220615386963
HAT,sony_53,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_53_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_53_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_90.png,2814.835693359375,8.38672828751476,0.0319965109229087,-27.74491482549329,-0.7299694617589315,0.2405048310756683,0.2112865447998047,27.74491482549329,0.7299694617589315,-27.74491482549329,-0.7299694617589315
HAT,sony_54,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_54_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_54_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_91.png,2802.1787109375,11.600384590787458,0.0328173637390136,-25.608906324102072,-0.7241563598314921,0.3360303938388824,0.2822169065475464,25.608906324102072,0.7241563598314921,-25.608906324102072,-0.7241563598314921
HAT,sony_80,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_80_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_80_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_92.png,2806.500244140625,7.804270956461324,0.0309545658528804,-25.067205271903184,-0.4952838122844696,0.3002218604087829,0.2020877003669738,25.067205271903184,0.4952838122844696,-25.067205271903184,-0.4952838122844696
HAT,sony_82,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_82_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_82_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_93.png,2809.81005859375,7.508441668897621,0.0322832725942134,-26.200057722376464,-0.8048042058944702,0.2525679171085357,0.2033594846725464,26.200057722376464,0.8048042058944702,-26.200057722376464,-0.8048042058944702
