pair,Spearman_rho,N,p_value
D_WACV vs NIQE,0.29812717668505145,186,3.5824727930721344e-05
D_WACV vs LR_content,-0.4799490882982344,186,4.1608906770726315e-12
D_WACV vs PSNR,0.6335532358302756,186,2.890726833153671e-22
D_WACV vs SSIM,0.6796609616343962,186,1.4807015374737667e-26
D_WACV vs LPIPS,-0.52659576948002,186,1.1629081136727322e-14
D_WACV vs DISTS,-0.2846439677559222,186,8.229271567162739e-05
