method,image_id,sr_path,hr_path,lr_path,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS,PSNR_original,SSIM_original,PSNR_neg,SSIM_neg
SwinSR,DSC_1241,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1241_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1241_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_11.png,2816.180908203125,15.626984047792558,0.0372282117605209,-26.86768251127757,-0.8935427864392599,0.1886832118034362,0.2096366882324218,26.86768251127757,0.8935427864392599,-26.86768251127757,-0.8935427864392599
SwinSR,DSC_1245,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1245_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1245_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_12.png,2822.76318359375,11.939969298802888,0.0167872663587331,-33.18427820334334,-0.9198318719863892,0.1417979151010513,0.1965165138244629,33.18427820334334,0.9198318719863892,-33.18427820334334,-0.9198318719863892
SwinSR,DSC_1265,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1265_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1265_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_13.png,2830.852783203125,11.85649043023645,0.0202674102038145,-39.34892280609548,-0.94783616065979,0.1573074162006378,0.268746554851532,39.34892280609548,0.94783616065979,-39.34892280609548,-0.94783616065979
SwinSR,DSC_1286,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1286_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1286_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_14.png,2804.236572265625,7.50258944878313,0.0237022545188665,-26.799882663215048,-0.7615658044815063,0.2360826134681701,0.2778108119964599,26.799882663215048,0.7615658044815063,-26.799882663215048,-0.7615658044815063
SwinSR,DSC_1326,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1326_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1326_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_15.png,2793.277099609375,6.116721085426489,0.0321695432066917,-21.79327566395576,-0.6658457318941752,0.307485282421112,0.2061724662780761,21.79327566395576,0.6658457318941752,-21.79327566395576,-0.6658457318941752
SwinSR,DSC_1404,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1404_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1404_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_16.png,2814.750732421875,12.281387165000282,0.0801238939166069,-20.472078798668893,-0.7661972045898438,0.2327666729688644,0.2223302125930786,20.472078798668893,0.7661972045898438,-20.472078798668893,-0.7661972045898438
SwinSR,DSC_1412,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1412_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1412_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_17.png,2814.90771484375,16.282541264706428,0.0258678365498781,-34.07785703607874,-0.9329202969868978,0.101462610065937,0.1688957214355468,34.07785703607874,0.9329202969868978,-34.07785703607874,-0.9329202969868978
SwinSR,DSC_1425,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1425_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1425_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_18.png,2821.84814453125,7.732017272392491,0.0260564070194959,-21.90570002014705,-0.8205244541168213,0.218699961900711,0.1791817545890808,21.90570002014705,0.8205244541168213,-21.90570002014705,-0.8205244541168213
SwinSR,DSC_1454,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1454_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1454_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_19.png,2799.176025390625,6.802410283762984,0.0358899161219596,-23.435359630507907,-0.6689954201380411,0.2362125068902969,0.1930314898490905,23.435359630507907,0.6689954201380411,-23.435359630507907,-0.6689954201380411
SwinSR,DSC_1462,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1462_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1462_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_20.png,2802.717041015625,5.631301412438115,0.0317349135875701,-24.64164454921642,-0.694184402624766,0.351731538772583,0.2510473132133484,24.64164454921642,0.694184402624766,-24.64164454921642,-0.694184402624766
