method,image_id,sr_path,hr_path,lr_path,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS
HAT,panasonic_128,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_128_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_128_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_59.png,2813.194580078125,14.211350114325516,0.021923797205090523,33.75255733338635,0.9589763879776001,0.13031286001205444,0.2339310646057129
HAT,panasonic_132,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_132_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_132_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_60.png,2811.473876953125,8.47478534039079,0.02011595293879509,33.31232270623991,0.9027854204177856,0.2282760590314865,0.19583767652511597
HAT,panasonic_145,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_145_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_145_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_61.png,2788.886962890625,14.81499785668473,0.049590814858675,22.884834487009293,0.7821448842684428,0.2314070165157318,0.231173574924469
HAT,panasonic_158,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_158_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_158_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_62.png,2804.594970703125,12.876186638475012,0.015263269655406475,27.156043851271544,0.8703252474466959,0.1275104582309723,0.2025240659713745
HAT,panasonic_16,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_16_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_16_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_63.png,2813.109619140625,11.63108112328615,0.031358685344457626,27.72157707208845,0.7108957370122274,0.27952995896339417,0.276508092880249
HAT,panasonic_182,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_182_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_182_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_64.png,2800.400146484375,8.44328593519326,0.059218987822532654,22.491664976852483,0.5670943657557169,0.5412971377372742,0.26671236753463745
HAT,panasonic_187,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_187_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_187_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_65.png,2789.42529296875,53.90941222065564,0.06471144407987595,14.655363234639472,0.5643832286198934,0.2957301735877991,0.3021806478500366
HAT,panasonic_196,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_196_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_196_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_66.png,2808.3671875,10.263344918474049,0.02579357661306858,24.930823169090168,0.5026921331882477,0.23788411915302277,0.2394556999206543
HAT,panasonic_197,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_197_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_197_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_67.png,2808.519775390625,7.19522044801454,0.038386810570955276,22.945748528193526,0.6452731490135193,0.3927266299724579,0.22405719757080078
HAT,panasonic_202,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_202_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_202_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_68.png,2814.130126953125,6.477101428098823,0.026959847658872604,26.96275400202702,0.7906519174575806,0.15544769167900085,0.17125064134597778
HAT,panasonic_206,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_206_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_206_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_69.png,2814.697021484375,7.535931315462911,0.0200162623077631,26.29381637494535,0.6893134117126465,0.1854468435049057,0.18486803770065308
