epoch,l_total,l_pix,l_vgg,l_kl,l_rank,psnr,ssim,sz_auroc,grad_norm_pix,grad_norm_vgg,grad_norm_kl,w_vgg,beta_kl_eff
15,1.3515598888659395,0.040345523843361604,3.1121436045283364,0.10056826103593886,0.0,24.91960814714781,0.691619431396529,nan,0.2573825085008674,5.667324490936945,6.804550614330433,0.1,1.0
16,1.3503441464157742,0.04076246020764068,3.093204145813082,0.2533433907187535,0.0,,,,0.9497158100151509,9.2629878882578,1.0884306288577539,0.1,1.0
17,1.3424350810975612,0.03968913471129635,3.0274594132374713,0.1318656315274489,0.0,,,,0.28018401470629734,4.488726413411467,3.47816771252048,0.1,1.0
18,1.337095379302709,0.039270848300532936,2.9782452544688476,0.1826580738686263,0.0,,,,0.37009546152288925,5.9616731570183905,5.29235409867845,0.1,1.0
19,1.3360517089953303,0.03957667328128349,2.964203650774649,0.330695842202089,0.0,,,,0.5340667298483446,10.75847431167755,7.268287003681726,0.1,1.0
20,1.3291406562999,0.03869153730476172,2.9044911490682885,0.31992319434749533,0.0,25.38158204119167,0.6987428528672605,nan,1.1692195840827853,12.484612897009917,5.991765225477386,0.1,1.0
21,1.3248129358581895,0.03834034283963207,2.8647258768318093,0.2970235782200411,0.0,,,,0.5779966203794117,7.194621469360242,8.405883499107352,0.1,1.0
22,1.320556611071396,0.03803625665870246,2.824990635943518,0.16683288567064436,0.0,,,,0.32631861371849963,11.940248865615459,1.9597557777937844,0.1,1.0
23,1.317451077755257,0.037782164333067254,2.796689085914741,0.09069322859050014,0.0,,,,0.4617244605927559,11.74929618600492,1.7259831996867259,0.1,1.0
24,1.3134558280426085,0.037415936495514404,2.7603988709786855,0.0818038446628468,0.0,,,,2.623980255755007,12.020292241773776,1.3568656808727888,0.1,1.0
25,1.3093459114585955,0.03701287350230098,2.7233303361039685,0.10624919342728414,0.0,25.753598858008097,0.7119646369800037,nan,0.6460615273189549,12.114359597080783,11.427076608174527,0.1,1.0
26,1.3083662815871167,0.037068107497325614,2.7111299263243005,0.253558554907435,0.0,,,,1.348577173126065,17.962654304657818,5.9583401882098554,0.1,1.0
27,1.3043006818319105,0.03667252898174185,2.6762814948122235,0.19102574418544419,0.0,,,,0.4760268510333079,12.601428110433922,4.292276788671771,0.1,1.0
28,1.3010991434285497,0.03637049020902164,2.647274072578741,0.25150162262488185,0.0,,,,1.1264845196684676,12.264944479725502,4.355203198062598,0.1,1.0
29,1.298545675472003,0.03612839027866172,2.624172812592006,0.21881372245667785,0.0,,,,0.864042006627334,19.381060719497036,6.976983721796339,0.1,1.0
30,1.2955987970209848,0.035893246967201,2.5970554557218817,0.22455842109377852,0.0,25.97866791966719,0.7273267715951185,nan,0.43227691954861996,6.310349697302654,4.802473888653548,0.1,1.0
31,1.29252343389645,0.035522803340964915,2.5700062627761926,0.2841114990219335,0.0,,,,0.8983240948662868,14.083910222351992,14.927726014011153,0.1,1.0
32,1.2916573928042727,0.03563544693529591,2.559860446608763,0.11765780878172356,0.0,,,,0.8239161393240063,11.518320824322213,4.614709955453887,0.1,1.0
33,1.289178212132592,0.035314415479568095,2.538637920723982,0.10774711615309507,0.0,,,,0.7137974052456916,6.9741678245570915,3.4909206640648383,0.1,1.0
34,1.2864504422284717,0.035075964301433206,2.513744735972344,0.10789907606255499,0.0,,,,0.27378927121179597,10.020243904184564,2.222405869003242,0.1,1.0
35,1.2856262399685634,0.035080348927880624,2.505458864676467,0.11001347619116628,0.0,26.10581273515961,0.7344411224432257,nan,0.5224363291115827,6.061424240546083,3.530269810549781,0.1,1.0
36,1.283453892069701,0.03481259827936872,2.4864128918757786,0.12200650336494268,0.0,,,,0.4930532567828541,11.245275184080954,3.994139562033812,0.1,1.0
37,1.2811071766201163,0.03463836043440336,2.464688123618497,0.18811886593750662,0.0,,,,0.3399088943372897,15.723442347673986,10.04070344389115,0.1,1.0
38,1.279281028064958,0.03451462968531036,2.4471915543050113,0.17788892954946384,0.0,,,,0.5485710097493436,10.739323375523798,4.197777650743232,0.1,1.0
39,1.2776101017091925,0.03433420654079042,2.432758908296369,0.08318531519432072,0.0,,,,1.6087953805645752,13.859558923624252,5.103137594420191,0.1,1.0
40,1.2766224971634532,0.03424995390457825,2.423725397901671,0.08708678164725568,0.0,26.374356320941082,0.7336539199376699,nan,0.40740403953006876,8.940007589464857,1.81080026923303,0.1,1.0
41,1.2761446992497731,0.03426855450123914,2.418761422573262,0.09243838760634233,0.0,,,,0.6851261797040955,11.781853891909302,5.611394877212429,0.1,1.0
42,1.274428294696349,0.03408777234078214,2.4034051919428228,0.1013999904414925,0.0,,,,0.4985468472850079,12.194459328772565,2.7963084546285795,0.1,1.0
43,1.2737398533828128,0.03403720902813947,2.3970264036338236,0.11887247733329229,0.0,,,,0.6534091698610535,8.792278142577276,4.015162545738036,0.1,1.0
44,1.2714962534419918,0.03385519718812577,2.3764105338235666,0.16501407313197633,0.0,,,,0.6186410638935533,4.155712307829067,12.299408338736049,0.1,1.0
45,1.2712077246498816,0.03391310952605646,2.37218851588436,0.1679971808486261,0.0,26.46676828766986,0.7382758558930974,nan,0.44155470222260024,13.11817762676422,5.172782428934361,0.1,1.0
46,1.2702967664103444,0.03379586135038615,2.3650090146076463,0.1575721617226631,0.0,,,,0.557456165958421,14.114736696917092,4.835828895010839,0.1,1.0
47,1.2697359030891646,0.03372081438976509,2.3601508532953894,0.16525937817994438,0.0,,,,0.4321323119468041,5.939324756189802,6.206600392184873,0.1,1.0
48,1.2692195376053006,0.03371664392590435,2.3550289060827208,0.17431480186604142,0.0,,,,0.6212523065514507,7.996428713115662,6.869559794324146,0.1,1.0
49,1.2684569408569373,0.03360283216685569,2.348541054119359,0.1879642321291541,0.0,,,,0.38505120355132155,7.056489020378119,7.729698378405093,0.1,1.0
50,1.2677241020127727,0.0335906123501058,2.34133486655277,0.2246059722682689,0.0,26.58890858115424,0.7425960350525327,nan,0.42363453206047846,6.565617824724709,9.522189126769028,0.1,1.0
