epoch,lambda_rank,margin,L_total,L_pix,L_vgg,L_KL_raw,L_rank,time_sec,ckpt_path
1,0.1,0.1,1.3041029328793552,0.040860601968700644,2.372625852475124,0.752699431025349,0.25973835456182726,660.7855994701385,
2,0.1,0.1,1.2814555245163166,0.040403917855459506,2.2452036665076704,0.6657270418859161,0.16531238085071467,644.0310032367706,
3,0.1,0.1,1.270515376012937,0.040217629898405445,2.188061340271899,0.8158473432327794,0.1149160693072217,639.6111478805542,
4,0.1,0.1,1.264072206484533,0.04016781607972442,2.151498151062864,0.7219768759687389,0.08752634100032726,638.9136979579926,
5,0.1,0.1,1.258577497079309,0.03997148124220888,2.110931750762779,0.5162121693117429,0.07512837495571065,639.0034697055817,/home/projectwork/student_package/day11/task12/day11b_pristine_rank/lambda_0.1/checkpoints/epoch_0005.pth
6,0.1,0.1,1.2548776050584507,0.039906728357505215,2.084535480996149,0.7034464778889598,0.06517324775098206,638.6883001327515,
7,0.1,0.1,1.2518579884967973,0.03964099373124474,2.0551826463600174,0.7905239200433799,0.06698726914127673,638.453209400177,
8,0.1,0.1,1.247839567460845,0.03952167219754341,2.0295333035488046,0.7231876837666583,0.053628861769230825,649.2684643268585,
9,0.1,0.1,1.2445040334114985,0.03926522694198431,2.006769744036472,0.5231958685459289,0.045618312753273285,659.439398765564,
10,0.1,0.1,1.2422831396086027,0.03920903804967493,1.9829635341874265,0.6790143399903205,0.04777746739291246,670.1547861099243,/home/projectwork/student_package/day11/task12/day11b_pristine_rank/lambda_0.1/checkpoints/epoch_0010.pth
11,0.1,0.1,1.2398115180762468,0.039086563060208496,1.9650033489792749,0.7967600787635398,0.042246176464463575,672.9881694316864,
12,0.1,0.1,1.2373130054072996,0.0389796465899037,1.9461745551729623,0.9000980166998584,0.0371590064489345,676.7362024784088,
13,0.1,0.1,1.2359686847281668,0.03886177330648741,1.9313726328643022,0.8771840437587384,0.03965282019705535,678.2884609699249,
14,0.1,0.1,1.2350901598951458,0.03874045858588235,1.9159292637510636,0.4287106980000977,0.04756771364501577,654.0323481559753,
15,0.1,0.1,1.2339040267783983,0.03869591994969323,1.9041626685224804,0.6000294609934883,0.04791838748956402,641.5025405883789,/home/projectwork/student_package/day11/task12/day11b_pristine_rank/lambda_0.1/checkpoints/epoch_0015.pth
16,0.1,0.1,1.2301370315847144,0.038565611244237,1.8829102434151996,0.6631211608912038,0.03280394191294621,666.8536121845245,
17,0.1,0.1,1.2294769358318465,0.03843018781904758,1.871536764133293,0.749855884092044,0.0389307089014333,671.9641489982605,
18,0.1,0.1,1.227349171279806,0.03841329116819311,1.853459151339742,0.5583061191756113,0.03584906584545112,665.355033159256,
19,0.1,0.1,1.225050840019125,0.03815297157693226,1.8363729600357799,0.4937423152601824,0.03260569316004249,676.0372154712677,
20,0.1,0.1,1.223797906025321,0.038119606563277474,1.824507949652925,0.6725154508267883,0.032275023593727754,667.1429064273834,/home/projectwork/student_package/day11/task12/day11b_pristine_rank/lambda_0.1/checkpoints/epoch_0020.pth
21,0.1,0.1,1.2212681351509769,0.03795475701809721,1.8060353520697197,0.7639925066084988,0.027098430540785267,661.1187906265259,
22,0.1,0.1,1.2243874070918666,0.03809080343957232,1.8152877107921954,0.7916229440970758,0.04760700183193966,649.711493730545,
23,0.1,0.1,1.2176134537806553,0.03775869393309133,1.7796949575432635,0.48039240701272423,0.018852628075429263,657.2778296470642,
24,0.1,0.1,1.2176763761360034,0.037644928150637226,1.772665860246768,0.5623512080944745,0.02764858083326783,651.3312413692474,
25,0.1,0.1,1.217456111865761,0.03765546836667752,1.7689342801286057,0.7322777120940454,0.029072126248377992,652.4689931869507,/home/projectwork/student_package/day11/task12/day11b_pristine_rank/lambda_0.1/checkpoints/epoch_0025.pth
